DataId,Name,Type,Description,BuildTime,ProductionTime,Size,DataName,UnlockLevel,MaxLevel,Exp
B0001,CookingBuilding,Cooking,요리건물,3,15,1&2,빵,1,5,100
B0002,Farm,CabbageFarm,양배추건물,3,15,1&1,벼,1,5,100
B0003,OnionFarm,OnionFarm,양파건물,3,15,1&2,양파,1,5,100
B0004,PotatoFarm,PotatoFarm,감자건물,3,15,1&3,감자,1,5,100
B0005,PumpkinFarm,PumpkinFarm,호박건물,3,15,1&4,호박,1,5,100
B0006,CarrotFarm,CarrotFarm,당근건물,3,15,1&5,당근,1,5,100
B0007,PlayGround,Playing,놀이건물,3,15,3&3,경험치,3,5,100
B0008,Fishing,Fishing,낚시건물,3,15,2&2,물고기,2,5,100
B0009,Rest,Resting,쉬는건물,3,15,2&2,피로도,2,5,100
B0010,Shop,Shop,상점건물,3,15,2&2,뽑기,3,5,100
B0011,Road,Road,도로,3,15,1&1,없음,0,5,100
