BuildingId,Level,UpgradeCost,ProducedFoodId
0,1,0,
0,2,70,
0,3,210,
0,4,350,
0,5,700,
0,6,1400,
0,7,3500,
0,8,6300,
0,9,10850,
0,10,17500,
0,11,28000,
0,12,42000,
0,13,70000,
0,14,108500,
0,15,157500,
0,16,245000,
0,17,350000,
0,18,490000,
0,19,630000,
0,20,805000,
0,21,1015000,
0,22,1260000,
0,23,1540000,
0,24,1855000,
0,25,2205000,
0,26,2590000,
0,27,3010000,
0,28,3465000,
0,29,3955000,
0,30,4550000,
0,31,5110000,
0,32,5740000,
0,33,6405000,
0,34,7105000,
0,35,7840000,
0,36,8605000,
0,37,9405000,
0,38,10215000,
0,39,11100000,
0,40,12035000,
0,41,12985000,
0,42,13965000,
0,43,14980000,
0,44,16015000,
0,45,17095000,
0,46,18235000,
0,47,19400000,
0,48,20580000,
0,49,21795000,
0,50,23065000,
0,51,24350000,
0,52,25695000,
0,53,27055000,
0,54,28435000,
0,55,29845000,
0,56,31295000,
0,57,32795000,
0,58,34305000,
0,59,35980000,
0,60,37590000,
0,61,39235000,
0,62,40915000,
0,63,42630000,
0,64,44380000,
0,65,46170000,
0,66,47990000,
0,67,49850000,
0,68,51730000,
0,69,53655000,
0,70,55615000,
0,71,57610000,
0,72,59640000,
0,73,61705000,
0,74,63805000,
0,75,65940000,
0,76,68110000,
0,77,70315000,
0,78,72555000,
0,79,74830000,
0,80,77140000,
0,81,79485000,
0,82,81865000,
0,83,84280000,
0,84,86730000,
0,85,89215000,
0,86,91735000,
0,87,94290000,
0,88,96880000,
0,89,99505000,
0,90,102165000,
0,91,104860000,
0,92,107590000,
0,93,110355000,
0,94,113155000,
0,95,115990000,
0,96,118965000,
0,97,121765000,
0,98,124705000,
0,99,127050000,
0,100,129500000,
0,101,131950000,
1,0,0,
1,1,200,
1,2,600,
1,3,1000,
1,4,2000,
1,5,4000,
1,6,10000,
1,7,18000,
1,8,31000,
1,9,50000,
1,10,80000,
1,11,120000,
1,12,200000,
1,13,310000,
1,14,450000,
1,15,700000,
1,16,1000000,
1,17,1400000,
1,18,1800000,
1,19,2300000,
1,20,2900000,
1,21,3600000,
1,22,4400000,
1,23,5300000,
1,24,6300000,
1,25,7400000,
1,26,8600000,
1,27,9900000,
1,28,11300000,
1,29,12900000,
1,30,14600000,
1,31,16400000,
1,32,18300000,
1,33,20300000,
1,34,22400000,
1,35,24600000,
1,36,26900000,
1,37,29300000,
1,38,31800000,
1,39,34400000,
1,40,37100000,
1,41,39900000,
1,42,42800000,
1,43,45800000,
1,44,48900000,
1,45,52100000,
1,46,55400000,
1,47,58800000,
1,48,62300000,
1,49,65900000,
1,50,69600000,
1,51,73400000,
1,52,77300000,
1,53,81300000,
1,54,85400000,
1,55,89600000,
1,56,93900000,
1,57,98300000,
1,58,102800000,
1,59,107400000,
1,60,112100000,
1,61,116900000,
1,62,121800000,
1,63,126800000,
1,64,131900000,
1,65,137100000,
1,66,142400000,
1,67,147800000,
1,68,153300000,
1,69,158900000,
1,70,164600000,
1,71,170400000,
1,72,176300000,
1,73,182300000,
1,74,188400000,
1,75,194600000,
1,76,200900000,
1,77,207300000,
1,78,213800000,
1,79,220400000,
1,80,227100000,
1,81,233900000,
1,82,240800000,
1,83,247800000,
1,84,254900000,
1,85,262100000,
1,86,269400000,
1,87,276800000,
1,88,284300000,
1,89,291900000,
1,90,299600000,
1,91,307400000,
1,92,315300000,
1,93,323300000,
1,94,331400000,
1,95,339600000,
1,96,347900000,
1,97,356300000,
1,98,363000000,
1,99,370000000,
