DataId,PrefabLabel,Name,TotalExp,MaxHp,Atk,MaxStamina,MoveSpeed,HpRate,AtkRate,MoveSpeedRate,IconLabel,SkillID,WalkSpeed,SkillScene
A10001,Chibi_Cat_00,얼룩냥,100,100,10,100,3,1,1,1,A10001.sprite,K1004,1.5,A10001_S.sprite
A10002,Chibi_Cat_01,흰냥이,100,100,10,80,3,1,1,1,A10002.sprite,K1002,1.5,A10002_S.sprite
A10003,Chibi_Cat_02,몽실냥,100,100,10,80,3,1,1,1,A10003.sprite,K1003,1.5,A10003_S.sprite
A10004,Chibi_Cat_03,무늬냥,100,100,10,100,3,1,1,1,A10004.sprite,K1005,1.5,A10004_S.sprite
A10005,Chibi_Cat_04,치즈냥,100,100,10,100,3,1,1,1,A10005.sprite,K1001,1.5,A10005_S.sprite
A10006,Chibi_Cat_05,치타냥,100,100,10,90,3,1,1,1,A10006.sprite,K1006,1.5,A10006_S.sprite
A10007,Chibi_Cat_06,원숭냥,100,100,10,80,3,1,1,1,A10007.sprite,K1007,1.5,A10007_S.sprite
A10008,Chibi_Cat_07,눈멍냥,100,100,10,100,3,1,1,1,A10008.sprite,K1008,1.5,A10008_S.sprite
A10009,Chibi_Cat_08,깜깜냥,100,100,10,100,3,1,1,1,A10009.sprite,K1009,1.5,A10009_S.sprite
A10010,Chibi_Cat_09,흰깜냥,100,100,10,100,3,1,1,1,A10010.sprite,K1010,1.5,A10010_S.sprite
M10001,CryingShark,울보상어,-1,100,4,-1,3,1,1,1,M10001.sprite,,1.5,M10001
M10002,WhiteShark,백상어,-1,100,6,-1,3,1,1,1,M10002.sprite,,1.5,M10002
M10003,StarShark,별상어,-1,100,8,-1,3,1,1,1,M10003.sprite,,1.5,M10003
M10004,BlueShark,청상어,-1,100,15,-1,3,1,1,1,M10004.sprite,,1.5,M10004
M10005,RadioactiveShark,방상어,-1,100,30,-1,3,1,1,1,M10005.sprite,,1.5,M10005
M10006,RedEyesShark,붉은눈상어,-1,100,45,-1,3,1,1,1,M10006.sprite,,1.5,M10006
B10001,Chibi_Bear_00,백곰이,100,150,20,130,2,-1,-1,-1,B10001.sprite,K1004,1.5,B10001_S.sprite
B10002,Chibi_Bear_01,황곰이,100,150,20,130,2,-1,-1,-1,B10002.sprite,K1002,1.5,B10002_S.sprite
B10003,Chibi_Bear_02,흰곰이,100,150,20,130,2,-1,-1,-1,B10003.sprite,K1003,1.5,B10003_S.sprite
B10004,Chibi_Bear_03,갈곰이,100,150,20,130,2,-1,-1,-1,B10004.sprite,K1005,1.5,B10004_S.sprite
B10005,Chibi_Bear_04,고곰이,100,150,20,130,2,-1,-1,-1,B10005.sprite,K1001,1.5,B10005_S.sprite
B10006,Chibi_Bear_05,와곰이,100,150,20,130,2,-1,-1,-1,B10006.sprite,K1006,1.5,B10006_S.sprite
B10007,Chibi_Bear_06,하곰이,100,150,20,130,2,-1,-1,-1,B10007.sprite,K1007,1.5,B10007_S.sprite
B10008,Chibi_Bear_07,잔곰이,100,150,20,130,2,-1,-1,-1,B10008.sprite,K1008,1.5,B10008_S.sprite
B10009,Chibi_Bear_08,초곰이,100,150,20,130,2,-1,-1,-1,B10009.sprite,K1009,1.5,B10009_S.sprite
B10010,Chibi_Bear_09,우곰이,100,150,20,130,2,-1,-1,-1,B10010.sprite,K1010,1.5,B10010_S.sprite
B10011,Chibi_Bear_10,소곰이,100,150,20,130,2,-1,-1,-1,B10011.sprite,K1004,1.5,B10011_S.sprite
B10012,Chibi_Bear_11,물곰이,100,150,20,130,2,-1,-1,-1,B10012.sprite,K1002,1.5,B10012_S.sprite
B10013,Chibi_Bear_12,티곰이,100,150,20,130,2,-1,-1,-1,B10013.sprite,K1003,1.5,B10013_S.sprite
B10014,Chibi_Bear_13,너곰이,100,150,20,130,2,-1,-1,-1,B10014.sprite,K1005,1.5,B10014_S.sprite
B10015,Chibi_Bear_14,늪곰이,100,150,20,130,2,-1,-1,-1,B10015.sprite,K1001,1.5,B10015_S.sprite
B10016,Chibi_Bear_15,판곰이,100,150,20,130,2,-1,-1,-1,B10016.sprite,K1006,1.5,B10016_S.sprite
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,150,,,,,,,,,,
