DataID,EquipmentType,Name,Description,SpriteName
E0001,Hat,티모모자,티모모자입니다.,Timohat.sprite
E0002,Hat,바람개비,바람개비입니다,b
E0003,Hat,치즈,치즈입니다,Cheese.sprite
E0004,Hat,포크,포크입니다,Fork.sprite
E0005,Hat,잡초,잡초입니다,Grass.sprite
E0006,Hat,버섯,버섯입니다,a
E0007,Hat,꽃,꽃입니다,Flower.sprite
E0101,Accessory,나비,나비입니다,Butterfly.sprite
E0102,Accessory,안경,안경입니다,Glasses.sprite
E0201,Bag,바게트가방1,바게트가방입니다,Bread.sprite
E0202,Bag,후라이팬,후라이팬입니다,Pan.sprite
E0203,Bag,생선악세서리,생선악세사리입니다,Fish.sprite
E0204,Bag,음식가방,음식입니다,Food.sprite
E0205,Bag,둥지막대기,둥지막대기입니다,a
E0206,Bag,바게트가방2,바게트가방입니다,Bread2.sprite
E0207,Bag,고기,고기입니다,Meat.sprtie
E0208,Bag,빗자루,빗자루입니다,a
