DataId,Name,Description,SpriteName,Price,Cabbage,Carrot,Pumpkin,Potato,Onion
F0001,기본탕,기본탕입니다.,F0001.sprite,50,0,0,0,0,0
F0002,맑은탕,맑은탕입니다.,F0002.sprite,100,1,0,0,0,0
F0003,고등어스프,고등어스프입니다.,F0003.sprite,100,0,1,0,0,0
F0004,어묵탕,어묵탕입니다.,F0004.sprite,100,0,0,1,0,0
F0005,연어탕,연어탕입니다.,F0005.sprite,100,0,0,0,1,0
F0006,매운탕,매운탕입니다.,F0006.sprite,100,0,0,0,0,1
F0007,테스트탕6,테스트6입니다,F0007.sprite,500,1,1,0,0,0
F0008,테스트탕7,테스트7입니다,F0008.sprite,500,1,0,1,0,0
F0009,테스트탕8,테스트8입니다,F0009.sprite,500,1,0,0,1,0
F0010,테스트탕9,테스트9입니다,F0010.sprite,500,1,0,0,0,1
F0011,테스트탕10,테스트10입니다,F0011.sprite,500,0,1,1,0,0
F0012,테스트탕11,테스트11입니다,F0012.sprite,500,0,1,0,1,0
F0013,테스트탕12,테스트12입니다,F0013.sprite,500,0,1,0,0,1
F0014,테스트탕13,테스트13입니다,F0014.sprite,500,0,0,1,1,0
F0015,테스트탕14,테스트14입니다,F0015.sprite,500,0,0,1,0,1
F0016,테스트탕15,테스트15입니다,F0016.sprite,500,0,0,0,1,1
F0017,테스트탕16,테스트16입니다,F0017.sprite,1000,1,1,1,0,0
F0018,테스트탕17,테스트17입니다,F0018.sprite,1000,1,1,0,1,0
F0019,테스트탕18,테스트18입니다,F0019.sprite,1000,1,1,0,0,1
F0020,테스트탕19,테스트19입니다,F0020.sprite,1000,1,0,1,1,0
F0021,테스트탕20,테스트20입니다,F0021.sprite,1000,1,0,1,0,1
F0022,테스트탕21,테스트21입니다,F0022.sprite,1000,1,0,0,1,1
F0023,테스트탕22,테스트22입니다,F0023.sprite,1000,0,1,1,1,0
F0024,테스트탕23,테스트23입니다,F0024.sprite,1000,0,1,1,0,1
F0025,테스트탕24,테스트24입니다,F0025.sprite,1000,0,1,0,1,1
F0026,테스트탕25,테스트25입니다,F0026.sprite,1000,0,0,1,1,1
F0027,테스트탕26,테스트26입니다,F0027.sprite,5000,1,1,1,1,0
F0028,테스트탕27,테스트27입니다,F0028.sprite,5000,1,1,1,0,1
F0029,테스트탕28,테스트28입니다,F0029.sprite,5000,1,1,0,1,1
F0030,테스트탕29,테스트29입니다,F0030.sprite,5000,1,0,1,1,1
F0031,테스트탕30,테스트30입니다,F0031.sprite,5000,0,1,1,1,1
F0032,테스트탕31,테스트31입니다,F0032.sprite,10000,1,1,1,1,1
