QuestId,Title,QuestType,QuestConditionType,TargetType,GoalCount,Reward,PreviousQuestId
Q0001,음식 만들기 50개,Daily,Collect,Soup,50,100,
Q0002,건물 건설 1개,Daily,Build,Build,1,100,
Q0003,숲 확장하기 1개,Daily,Collect,Forest,1,100,
Q0004,고양이 입양 10마리,Daily,Collect,Animal,10,100,
Q0005,슬롯 머신 10회,Daily,Collect,SlotMachine,10,100,
Q0006,낚시 10회,Daily,Collect,Fishing,10,100,
Q1001,음식 만들기 10개,Achievement,Collect,Soup,10,100,
Q1002,음식 만들기 50개,Achievement,Collect,Soup,50,100,Q1001
Q1003,음식 만들기 100개,Achievement,Collect,Soup,100,100,Q1002
Q1004,음식 만들기 200개,Achievement,Collect,Soup,200,100,Q1003
Q1005,음식 만들기 500개,Achievement,Collect,Soup,500,100,Q1004
Q1006,음식 만들기 1000개,Achievement,Collect,Soup,1000,100,Q1005
Q1007,음식 만들기 2000개,Achievement,Collect,Soup,2000,100,Q1006
Q1008,음식 만들기 5000개,Achievement,Collect,Soup,5000,100,Q1007
Q1009,음식 만들기 10000개,Achievement,Collect,Soup,10000,100,Q1008
Q2001,채소 생산 10개,Achievement,Collect,Farm,10,100,
Q2002,채소 생산 50개,Achievement,Collect,Farm,50,100,Q2001
Q2003,채소 생산 100개,Achievement,Collect,Farm,100,100,Q2002
Q2004,채소 생산 200개,Achievement,Collect,Farm,200,100,Q2003
Q2005,채소 생산 500개,Achievement,Collect,Farm,500,100,Q2004
Q2006,채소 생산 1000개,Achievement,Collect,Farm,1000,100,Q2005
Q2007,채소 생산 2000개,Achievement,Collect,Farm,2000,100,Q2006
Q2008,채소 생산 5000개,Achievement,Collect,Farm,5000,100,Q2007
Q2009,채소 생산 10000개,Achievement,Collect,Farm,10000,100,Q2008
Q2101,양파 농장 3개 건설,Achievement,Build,OnionFarm,3,100,
Q3101,당근 농장 3개 건설,Achievement,Build,CarrotFarm,3,100,
Q4101,감자 농장 3개 건설,Achievement,Build,PotatoFarm,3,100,
Q4001,음식 판매 10개,Achievement,Collect,Farm,10,100,
Q4201,숲 확장 3구역,Achievement,Collect,Forest,3,100,
Q2201,동물 입양 5마리,Achievement,Collect,Animal,5,100,
Q3201,동물 입양 8마리,Achievement,Collect,Animal,8,100,Q2201
Q3202,동물 입양 100마리,Achievement,Collect,Animal,100,100,Q3201
Q7001,슬롯 머신 10회,Achievement,Collect,Farm,10,100,
Q8001,낚시 10회,Achievement,Collect,Fishing,10,100,
Q1101,배추 농장 1개 건설,Achievement,Build,CabbageFarm,1,100,
