ContentId,ConditionType ,QuestId,RequiredGold ,ItemId,Description
Chapter1,Gold,,1000,Building_OnionFarm,신규 건물 양파 농장
Chapter1,Quest,Q1101,,Content_AnimalAdoption,신규 콘텐츠 동물입양
Chapter1,,,,Content_Costume,신규 콘텐츠 코스튬
Chapter2,Quest,Q2101,10000,Content_Bear,신규 캐릭터 곰돌이
Chapter2,Quest,Q2201,10000,Content_Battle,신규 콘텐츠 전투
Chapter2,Gold,,10000,Building_AnimalStorage,신규 건물 동물 창고
Chapter3,Quest,Q3101,100000,Building_CarrotFarm,신규 건물 당근 농장
Chapter3,Quest,Q3201,100000,Building_PotatoFarm,신규 건물 감자 농장
Chapter3,Gold,,100000,Building_SlotMachine,신규 건물 슬롯머신
Chapter4,Quest,Q4101,1000000,Building_FishingSpot,신규 건물 낚시터
Chapter4,Quest,Q4201,1000000,Content_Minigame,신규 콘텐츠 미니게임
Chapter4,Gold,,1000000,Building_PumpkinFarm,신규 건물 호박 농장
